순번,단지명,회사명,"공장대표주소(지번, 도로명 주소)",업종번호,업종명,대표번호,비고
1044,화성전곡해양일반산업단지,(주)하얀소금 ,경기도 화성시 서신면 전곡리 1111번지,"10749, 20499",기타 식품 첨가물 제조업 외 1 종,031-318-8835,
1045,화성전곡해양일반산업단지,(주)하이테크코리아,경기도 화성시 서신면 전곡리 1108-7번지,"29299, 35114",그 외 기타 특수목적용 기계 제조업 외 1 종,031-358-2016,
1046,화성전곡해양일반산업단지,(주)한국씨에프씨케미칼,경기도 화성시 서신면 전곡리 1161-3번지,20499,그 외 기타 분류 안된 화학제품 제조업,031-266-8275,
1047,화성전곡해양일반산업단지,(주)해담,경기도 화성시 서신면 전곡리 1115-13,"25119, 35114",기타 구조용 금속제품 제조업 외 1 종,031-355-7910,
1048,화성전곡해양일반산업단지,(주)해비코,경기도 화성시 서신면 전곡리 1104-5,29294,주형 및 금형 제조업,031-8043-5571,
1049,화성전곡해양일반산업단지,(주)현진금속 ,경기도 화성시 서신면 전곡리 1112-2,"25119, 25992, 29174, 29175, 29193, 29194, 29199, 29210, 35114",수동식 식품 가공기기 및 금속 주방용기 제조업 외 8 종,031-356-7697,
1050,화성전곡해양일반산업단지,(주)현진금속 ,경기도 화성시 서신면 전곡리 1118-2번지,25992,수동식 식품 가공기기 및 금속 주방용기 제조업,031-356-7697,
1051,화성전곡해양일반산업단지,(주)화인스틸,경기도 화성시 서신면 전곡리 1163-1번지,25929,그 외 기타 금속가공업,031-319-1190,
1052,화성전곡해양일반산업단지,(주)휴텍에스피 ,경기도 화성시 서신면 전곡리 1119-4번지,"17124, 20491","적층, 합성 및 특수표면처리 종이 제조업 외 1 종",,
1053,화성전곡해양일반산업단지,JK오렌지마린,경기도 화성시 서신면 전곡리 1093-1,31120,오락 및 스포츠용 보트 건조업,031-357-8266,
1054,화성전곡해양일반산업단지,M.K인터내셔날 ,경기도 화성시 서신면 장외리 624-6번지,"20423, 20424",화장품 제조업 외 1 종,031-355-4497,
1055,화성전곡해양일반산업단지,강남폴리텍 ,경기도 화성시 서신면 전곡리 1105-8번지,20493,접착제 및 젤라틴 제조업,031-355-9213,
1056,화성전곡해양일반산업단지,개명산업,경기도 화성시 서신면 장외리 653-1번지,32029,기타 목재가구 제조업,031-366-8111,
1057,화성전곡해양일반산업단지,광역파워샌딩 ,경기도 화성시 서신면 전곡리 1088-7번지,25929,그 외 기타 금속가공업,032-446-2343,
1058,화성전곡해양일반산업단지,금성호이스트크레인(주),경기도 화성시 서신면 전곡리 산 131번지,29169,기타 물품 취급장비 제조업,031-355-6130,
1059,화성전곡해양일반산업단지,금정,경기도 화성시 서신면 장외리 652-9,23321,비내화 모르타르 제조업,031-354-9090,
1060,화성전곡해양일반산업단지,나누리씨앤씨 ,경기도 화성시 서신면 전곡리 1104-9,17909,그 외 기타 종이 및 판지 제품 제조업,031-432-8060,
1061,화성전곡해양일반산업단지,나성산업,경기도 화성시 서신면 장외리 95-26번지,"22212, 22213",플라스틱 필름 제조업 외 1 종,031-318-8608,
1062,화성전곡해양일반산업단지,남양넥스모(주) ,경기도 화성시 서신면 전곡리 1116-3,25924,절삭가공 및 유사처리업,031-494-2222,
1063,화성전곡해양일반산업단지,대동상공(주),경기도 화성시 서신면 전곡리 1104-2,"25913, 25914",자동차용 금속 압형제품 제조업 외 1 종,031-356-5061,
1064,화성전곡해양일반산업단지,대봉엘에스(주),경기도 화성시 서신면 전곡리 1117-7번지,"20423, 20499",화장품 제조업 외 1 종,032-712-8800,
1065,화성전곡해양일반산업단지,대성씨앤에스(주) 화성센터,경기도 화성시 서신면 장외리 652-1,20422,"치약, 비누 및 기타 세제 제조업",031-491-1902,
1066,화성전곡해양일반산업단지,대성이노켐(주),경기도 화성시 서신면 장외리 624-1,"20202, 20423, 20499",그 외 기타 분류 안된 화학제품 제조업 외 2 종,031-356-4393,
1067,화성전곡해양일반산업단지,대진ENG,경기도 화성시 서신면 장외리 84-6번지,25924,절삭가공 및 유사처리업,,
1068,화성전곡해양일반산업단지,동명지주,경기도 화성시 서신면 장외리 622-5번지,"20411, 25929",일반용 도료 및 관련제품 제조업 외 1 종,031-498-5820,
1069,화성전곡해양일반산업단지,디와이스틸(주),경기도 화성시 서신면 전곡리 1102-3,"24122, 24199, 24290",그 외 기타 1차 철강 제조업 외 2 종,031-492-6296,
1070,화성전곡해양일반산업단지,디와이특수강(주),경기도 화성시 서신면 전곡리 1102-3,"24122, 24199, 24290, 25944",금속선 가공제품 제조업 외 3 종,031-366-9411,
1071,화성전곡해양일반산업단지,디플러스(주),경기도 화성시 서신면 전곡리 1102-5번지,"25924, 26295, 26299",절삭가공 및 유사처리업 외 2 종,031-356-8386,
1072,화성전곡해양일반산업단지,리니어코스메틱 주식회사 ,경기도 화성시 서신면 장외리 621-3번지,20423,화장품 제조업,031-356-1766,
1073,화성전곡해양일반산업단지,머티어리얼사이언스(주),경기도 화성시 서신면 전곡리 1096-1,20499,그 외 기타 분류 안된 화학제품 제조업,02-6259-0113,
1074,화성전곡해양일반산업단지,메가루브 ,경기도 화성시 서신면 전곡리 1115-8번지,20499,그 외 기타 분류 안된 화학제품 제조업,,
1075,화성전곡해양일반산업단지,메리츠산업개발(주),경기도 화성시 서신면 전곡리 1110-3,25112,구조용 금속 판제품 및 공작물 제조업,031-357-9749,
1076,화성전곡해양일반산업단지,메스토,경기도 화성시 서신면 장외리 654-9번지,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-355-5644,
1077,화성전곡해양일반산업단지,명진정밀공업,경기도 화성시 서신면 전곡리 557-359번지,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,031-355-8687,
1078,화성전곡해양일반산업단지,미성화학(주) ,경기도 화성시 서신면 전곡리 1089-5번지,20411,일반용 도료 및 관련제품 제조업,031-355-9851,
1079,화성전곡해양일반산업단지,보화산업(주),경기도 화성시 서신면 전곡리 1089-4,30399,그 외 자동차용 신품 부품 제조업,031-431-8084,
1080,화성전곡해양일반산업단지,비에스텍,경기도 화성시 서신면 전곡리 557-28번지,20413,인쇄잉크 및 회화용 물감 제조업,031-8015-5912,
1081,화성전곡해양일반산업단지,비엠벨틱스,경기도 화성시 서신면 장외리 621-5,25943,금속 스프링 제조업,032-812-4177,
1082,화성전곡해양일반산업단지,사회복지법인 한국노인생활지원재단,경기도 화성시 서신면 전곡리 1105-5,20499,그 외 기타 분류 안된 화학제품 제조업,02-924-2247,
1083,화성전곡해양일반산업단지,삼성의료고무(주),경기도 화성시 서신면 전곡리 산 202-8번지,"22192, 22193",고무 의류 및 기타 위생용 비경화 고무제품 제조업 외 1 종,031-491-8071,
1084,화성전곡해양일반산업단지,삼신화학공업㈜,경기도 화성시 서신면 장외리 655-2번지,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1 종,031-362-7400,
1085,화성전곡해양일반산업단지,새참식품,경기도 화성시 서신면 장외리 95-2번지,"10122, 10129",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,031-501-2324,
1086,화성전곡해양일반산업단지,서울보트,경기도 화성시 서신면 전곡리 1093-6,31120,오락 및 스포츠용 보트 건조업,ARS-1800-3833,
1087,화성전곡해양일반산업단지,서전,경기도 화성시 서신면 전곡리 630번지,20493,접착제 및 젤라틴 제조업,031-356-2661,
1088,화성전곡해양일반산업단지,선에이로지스틱스(주),경기도 화성시 서신면 전곡리 1089-11,30202,자동차 구조 및 장치 변경업 ,031-355-7227,
1089,화성전곡해양일반산업단지,선에이로지스틱스(주) ,경기도 화성시 서신면 전곡리 1089-1번지,68112,비주거용 건물 임대업,031-366-7100,
1090,화성전곡해양일반산업단지,성광플랜트(주),경기도 화성시 서신면 전곡리 683-5번지,"25122, 25123",금속탱크 및 저장용기 제조업 외 1 종,031-355-2164,
1091,화성전곡해양일반산업단지,성도케미칼(주) ,경기도 화성시 서신면 전곡리 1105-3번지,"20493, 20499",접착제 및 젤라틴 제조업 외 1 종,031-358-2121,
1092,화성전곡해양일반산업단지,성림유화(주),경기도 화성시 서신면 전곡리 1095-1,68112,비주거용 건물 임대업,031-499-3813,
1093,화성전곡해양일반산업단지,성화시스템챤넬(주) ,경기도 화성시 서신면 전곡리 1104-1,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,032-562-3239,
1094,화성전곡해양일반산업단지,세기플랜,경기도 화성시 서신면 전곡리 1107-7,25122,금속탱크 및 저장용기 제조업,,
1095,화성전곡해양일반산업단지,세븐연구소,경기도 화성시 서신면 전곡리 1115-8,20499,그 외 기타 분류 안된 화학제품 제조업,,
1096,화성전곡해양일반산업단지,세종스톤,경기도 화성시 서신면 전곡리 1088-1,25119,기타 구조용 금속제품 제조업,031-355-5838,
1097,화성전곡해양일반산업단지,스카이 플러스,경기도 화성시 서신면 전곡리 1119-5,20411,일반용 도료 및 관련제품 제조업,031-358-0555,
1098,화성전곡해양일반산업단지,승진철강(주),경기도 화성시 서신면 전곡리 1107-1번지,25929,그 외 기타 금속가공업,031-356-3603,
1099,화성전곡해양일반산업단지,신영기업,경기도 화성시 서신면 전곡리 1104-4번지,25923,도장 및 기타 피막처리업,031-355-0790,
1100,화성전곡해양일반산업단지,신창중상이용사촌(주),경기도 화성시 서신면 전곡리 1102-2,"16229, 25112, 25113, 25114, 28410, 28422, 28423, 28429",기타 건축용 나무제품 제조업 외 7 종,031-683-9216,
1101,화성전곡해양일반산업단지,씨케이티(주),경기도 화성시 서신면 전곡리 1103-6번지,"22249, 26299",그 외 기타 전자부품 제조업 외 1 종,031-499-0300,
1102,화성전곡해양일반산업단지,아산임산,경기도 화성시 서신면 장외리 654-6,"20112, 20499",천연수지 및 나무 화학물질 제조업 외 1 종,031-357-1694,
1103,화성전곡해양일반산업단지,아세아볼트기업(주) ,경기도 화성시 서신면 전곡리 1088-4번지,"25941, 25942",볼트 및 너트류 제조업 외 1 종,031-319-1515,
1104,화성전곡해양일반산업단지,알플라하나아시아퍼시픽(주),경기도 화성시 서신면 전곡리 1089-7,22232,포장용 플라스틱 성형용기 제조업,02-3404-0813,
1105,화성전곡해양일반산업단지,에스씨이엔이(주),경기도 화성시 서신면 전곡리 1108-4,"25122, 25932, 29150, 29174, 29176, 29199, 29299",기체 여과기 제조업 외 6 종,031-365-4150,
1106,화성전곡해양일반산업단지,에스엘(주) ,경기도 화성시 서신면 전곡리 1095-1번지,20499,그 외 기타 분류 안된 화학제품 제조업,031-319-3534,
1107,화성전곡해양일반산업단지,에이스전기(주),경기도 화성시 서신면 장외리 623-1번지,"25113, 25114, 28114, 28119, 28422",육상 금속 골조 구조재 제조업 외 4 종,031-416-8725,
1108,화성전곡해양일반산업단지,에코테크(주) ,경기도 화성시 서신면 전곡리 1117-6번지,"20311, 20499","질소화합물, 질소, 인산 및 칼리질 화학비료 제조업 외 1 종",051-624-4434,
1109,화성전곡해양일반산업단지,엘앤비(EL&B),경기도 화성시 서신면 전곡리 1102-2,68112,비주거용 건물 임대업,,
1110,화성전곡해양일반산업단지,엘앤피코스메틱(주) ,경기도 화성시 서신면 전곡리 1100-1번지,52101,일반 창고업,070-4165-0976,
1111,화성전곡해양일반산업단지,엠바이오멧 ,경기도 화성시 서신면 전곡리 1105-7,24229,"기타 비철금속 압연, 압출 및 연신 제품 제조업",,
1112,화성전곡해양일반산업단지,예인철강(주),경기도 화성시 서신면 전곡리 1159-7,"35114, 68112",비주거용 건물 임대업 외 1 종,031-357-0548,
1113,화성전곡해양일반산업단지,오에스피(주),경기도 화성시 서신면 전곡리 1096-9번지,20499,그 외 기타 분류 안된 화학제품 제조업,02-2083-3030,
1114,화성전곡해양일반산업단지,우리물류포장(주),경기도 화성시 서신면 전곡리 1159-4,32029,기타 목재가구 제조업,031-435-2734,
1115,화성전곡해양일반산업단지,우보케미칼(주) ,경기도 화성시 서신면 전곡리 1104-3,"20111, 20202, 20411, 20412, 20413, 20421, 20493, 20499",그 외 기타 분류 안된 화학제품 제조업 외 7 종,02-561-1115,
1116,화성전곡해양일반산업단지,워즐(주),경기도 화성시 서신면 전곡리 1118-3,25992,수동식 식품 가공기기 및 금속 주방용기 제조업,031-831-8940,
1117,화성전곡해양일반산업단지,유림인더스트리얼즈(주) ,경기도 화성시 서신면 전곡리 1103-3,20411,일반용 도료 및 관련제품 제조업,031-354-4293,
1118,화성전곡해양일반산업단지,유림특수화학(주) ,경기도 화성시 서신면 전곡리 1103-7,20411,일반용 도료 및 관련제품 제조업,031-354-4291,
1119,화성전곡해양일반산업단지,유성분체기계(주),경기도 화성시 서신면 전곡리 산 126-20번지,29133,"탭, 밸브 및 유사장치 제조업",031-314-8433,
1120,화성전곡해양일반산업단지,유성분체기계(주),경기도 화성시 서신면 전곡리 1118-4,29133,"탭, 밸브 및 유사장치 제조업",ARS-1522-0018,
1121,화성전곡해양일반산업단지,유일테크(주),경기도 화성시 서신면 전곡리 1089-3,"24133, 25924, 29163",컨베이어장치 제조업 외 2 종,031-8043-5325,
1122,화성전곡해양일반산업단지,유정산업,경기도 화성시 서신면 전곡리 1161-4,20499,그 외 기타 분류 안된 화학제품 제조업,,
1123,화성전곡해양일반산업단지,유진타워건설(주) ,경기도 화성시 서신면 전곡리 1103-1번지,22241,운송장비 조립용 플라스틱제품 제조업,031-497-0041,
1124,화성전곡해양일반산업단지,유한회사 아이티더블유에이오씨 ,경기도 화성시 서신면 전곡리 1103-1번지,22241,운송장비 조립용 플라스틱제품 제조업,032-811-0030,
1125,화성전곡해양일반산업단지,이건스터드,경기도 화성시 서신면 전곡리 1115-2번지,25942,그 외 금속파스너 및 나사제품 제조업,032-811-5959,
1126,화성전곡해양일반산업단지,이에스솔루텍,경기도 화성시 서신면 전곡리 1096-9,20499,그 외 기타 분류 안된 화학제품 제조업,031-3574-067,
1127,화성전곡해양일반산업단지,이지테크,경기도 화성시 서신면 장외리 652-8번지,"25122, 29175, 29176","증류기, 열교환기 및 가스발생기 제조업 외 2 종",031-508-6608,
1128,화성전곡해양일반산업단지,이티알(주),경기도 화성시 서신면 전곡리 1108-4번지,30331,자동차용 신품 동력전달장치 제조업,031-290-6129,
1129,화성전곡해양일반산업단지,일신우레탄,경기도 화성시 서신면 전곡리 1115-1,29230,금속 주조 및 기타 야금용 기계 제조업,031-357-9386,
1130,화성전곡해양일반산업단지,자민경(주),경기도 화성시 서신면 장외리 654-16번지,20423,화장품 제조업,02-567-4956,
1131,화성전곡해양일반산업단지,제와이시스템(주),경기도 화성시 서신면 장외리 621-4,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,031-435-5154,
1132,화성전곡해양일반산업단지,제우스유화공업(주) 화성공장  ,경기도 화성시 서신면 전곡리 1105-5,20499,그 외 기타 분류 안된 화학제품 제조업,031-357-8065,
1133,화성전곡해양일반산업단지,제이 에이치,경기도 화성시 서신면 전곡리 1107-5,25929,그 외 기타 금속가공업,031-430-0011,
1134,화성전곡해양일반산업단지,주식회사 누리켐,경기도 화성시 서신면 전곡리 1161-4,"20411, 20499",그 외 기타 분류 안된 화학제품 제조업 외 1 종,031-450-6633,
1135,화성전곡해양일반산업단지,주식회사 씨엠케미칼,경기도 화성시 서신면 장외리 654-5번지,20499,그 외 기타 분류 안된 화학제품 제조업,031-495-1307,
1136,화성전곡해양일반산업단지,주식회사 케이씨글로벌 ,경기도 화성시 서신면 장외리 654-2번지,20499,그 외 기타 분류 안된 화학제품 제조업,031-356-9515,
1137,화성전곡해양일반산업단지,주식회사 태성아이엠티 ,경기도 화성시 서신면 전곡리 1105-11,68112,비주거용 건물 임대업,070-8200-6465,
1138,화성전곡해양일반산업단지,카윈텍 ,경기도 화성시 서신면 장외리 654-10번지,29294,주형 및 금형 제조업,031-357-3154,
1139,화성전곡해양일반산업단지,켐맥스(주) ,"경기도 화성시 서신면 장외리 624-2번지 , 경기도 화성시 서신면 전곡리 1119-2번지 ",20421,계면활성제 제조업,031-434-6013,
1140,화성전곡해양일반산업단지,켑코솔라(주),경기도 화성시 서신면 전곡리 1118-5,35114,태양력 발전업,02-6328-6123,
1141,화성전곡해양일반산업단지,코스본(주) ,경기도 화성시 서신면 전곡리 1112-5번지,"20423, 20499",화장품 제조업 외 1 종,032-567-0027,
1142,화성전곡해양일반산업단지,파도화학,경기도 화성시 서신면 전곡리 557-28번지,20493,접착제 및 젤라틴 제조업,031-430-3507,
1143,화성전곡해양일반산업단지,파인와이어,경기도 화성시 서신면 장외리 651-7번지,29229,기타 가공 공작기계 제조업,031-491-1733,
1144,화성전곡해양일반산업단지,피제리아,경기도 화성시 서신면 장외리 652-2번지,68112,비주거용 건물 임대업,,
1145,화성전곡해양일반산업단지,하나루브텍,경기도 화성시 서신면 전곡리 1161-4번지,20499,그 외 기타 분류 안된 화학제품 제조업,,
1146,화성전곡해양일반산업단지,하이로드켐텍(주) ,경기도 화성시 서신면 전곡리 1098-2번지,20411,일반용 도료 및 관련제품 제조업,031-356-5007,
1147,화성전곡해양일반산업단지,한국단자공업(주),경기도 화성시 서신면 전곡리 1109-1번지,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,032-850-1117,
1148,화성전곡해양일반산업단지,한국와이다,경기도 화성시 서신면 전곡리 1103-5,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-318-6662,
1149,화성전곡해양일반산업단지,한맥시스템,경기도 화성시 서신면 전곡리 1092-2,29163,컨베이어장치 제조업,031-489-1476,
1150,화성전곡해양일반산업단지,한양스터드용접(주),경기도 화성시 서신면 전곡리 1115-2번지,29299,그 외 기타 특수목적용 기계 제조업,031-355-7697,
1151,화성전곡해양일반산업단지,해담 ,경기도 화성시 서신면 전곡리 1115-13,25119,기타 구조용 금속제품 제조업,031-355-7910,
1152,화성전곡해양일반산업단지,현대씨즈올(주),경기도 화성시 서신면 전곡리 1093-5번지,"29111, 29210, 31114",선박 구성 부분품 제조업 외 2 종,070-8620-8041,
1153,화성전곡해양일반산업단지,홍옥환경플랜트,경기도 화성시 서신면 전곡리 1110-3번지,29174,기체 여과기 제조업,,
1154,화성전곡해양일반산업단지,화성강재(주),경기도 화성시 서신면 전곡리 1108-1번지,25113,육상 금속 골조 구조재 제조업,031-319-7171,
1155,화성전곡해양일반산업단지,화성코아텍(주),경기도 화성시 서신면 전곡리 1102-1,22211,"플라스틱 선, 봉, 관 및 호스 제조업",031-356-7402,
1156,화성전곡해양일반산업단지,효성전자 ,경기도 화성시 서신면 장외리 651-4번지,30332,자동차용 신품 전기장치 제조업,032-813-1654,
1157,화성전곡해양일반산업단지,흥진기업(주),경기도 화성시 서신면 전곡리 1116-1,"25924, 35114",절삭가공 및 유사처리업 외 1 종,031-355-6461,
1158,화성전곡해양일반산업단지,흥진기업(주) ,경기도 화성시 서신면 전곡리 1116-3,25924,절삭가공 및 유사처리업,031-355-6461,
1159,화성정남일반산업단지,(주)HS하이테크,경기도 화성시 정남면 음양리 569번지,"29271, 29294",반도체 제조용 기계 제조업 외 1 종,031-683-2265,
1160,화성정남일반산업단지,(주)SPL ,경기도 화성시 정남면 음양리 976-0,68112,비주거용 건물 임대업,070-4677-1817,
1161,화성정남일반산업단지,(주)경원알미늄,경기도 화성시 정남면 음양리 893,68112,비주거용 건물 임대업,042-825-0907,
1162,화성정남일반산업단지,(주)고려이엠씨 ,경기도 화성시 정남면 음양리 858,"26211, 28123",액정 표시장치 제조업 외 1 종,031-373-6235,
1163,화성정남일반산업단지,(주)내츄럴스,경기도 화성시 정남면 음양리 959,"10749, 10799",기타 식품 첨가물 제조업 외 1 종,031-429-0853,
1164,화성정남일반산업단지,(주)네스텍코리아,경기도 화성시 정남면 음양리 254번지,"26121, 26129, 26295, 26299",그 외 기타 전자부품 제조업 외 3 종,031-892-4676,
1165,화성정남일반산업단지,(주)노바텍,경기도 화성시 정남면 음양리 894,29199,그 외 기타 일반목적용 기계 제조업,031-627-5290,
1166,화성정남일반산업단지,(주)대명테크놀러지 ,경기도 화성시 정남면 음양리 868,22249,기타 기계.장비 조립용 플라스틱 제품 제조업,031-217-7346,
1167,화성정남일반산업단지,(주)대한엔지니어링 ,경기도 화성시 정남면 음양리 623번지,"28123, 29192",배전반 및 전기 자동제어반 제조업 외 1 종,031-457-0862,
1168,화성정남일반산업단지,(주)드림메카텍,경기도 화성시 정남면 음양리 888,"25924, 29272",디스플레이 제조용 기계 제조업 외 1 종,031-366-5623,
1169,화성정남일반산업단지,(주)드림메카텍 ,경기도 화성시 정남면 음양리 889,"25924, 29272",디스플레이 제조용 기계 제조업 외 1 종,031-366-5623,
1170,화성정남일반산업단지,(주)디와이케미칼 ,경기도 화성시 정남면 음양리 876-0,22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",070-4402-7030,
1171,화성정남일반산업단지,(주)명성 화성공장,경기도 화성시 정남면 음양리 862,"26295, 26299, 27215",그 외 기타 전자부품 제조업 외 2 종,031-293-0652,
1172,화성정남일반산업단지,(주)목원테크,경기도 화성시 정남면 음양리 281번지,25924,절삭가공 및 유사처리업,031-8059-2158,
1173,화성정남일반산업단지,(주)미래몰드에칭,경기도 화성시 정남면 음양리 923,25929,그 외 기타 금속가공업,031-373-9346,
1174,화성정남일반산업단지,(주)뷰웍스 ,경기도 화성시 정남면 음양리 844-0,"27192, 27199, 27309",그 외 기타 의료용 기기 제조업 외 2 종,070-4910-9814,
1175,화성정남일반산업단지,(주)브라이튼,경기도 화성시 정남면 음양리 269번지,22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",031-374-0731,
1176,화성정남일반산업단지,(주)세현테크,경기도 화성시 정남면 음양리 958-0,28909,그 외 기타 전기장비 제조업,031-278-7763,
1177,화성정남일반산업단지,(주)신성텍,경기도 화성시 정남면 음양리 901,29271,반도체 제조용 기계 제조업,031-353-6442,
1178,화성정남일반산업단지,(주)신우아이시티,경기도 화성시 정남면 음양리 950,20423,화장품 제조업,031-423-4545,
1179,화성정남일반산업단지,(주)신진에스엠지점,경기도 화성시 정남면 음양리 842,"29222, 29223",디지털 적층 성형기계 제조업 외 1 종,031-369-7425,
1180,화성정남일반산업단지,(주)아스플로 ,경기도 화성시 정남면 음양리 899-0,29133,"탭, 밸브 및 유사장치 제조업",031-352-2301,
1181,화성정남일반산업단지,(주)아이에스컴퍼니,경기도 화성시 정남면 음양리 897,29280,산업용 로봇 제조업,070-5175-0081,
1182,화성정남일반산업단지,(주)앤아이윈 ,경기도 화성시 정남면 음양리 972-0,22249,기타 기계.장비 조립용 플라스틱 제품 제조업,031-376-2218,
1183,화성정남일반산업단지,(주)에버웰,경기도 화성시 정남면 음양리 956,10712,빵류 제조업,031-378-3990,
1184,화성정남일반산업단지,(주)에스아이 ,경기도 화성시 정남면 음양리 602번지,29271,반도체 제조용 기계 제조업,031-8059-2864,
1185,화성정남일반산업단지,(주)에스앤지,경기도 화성시 정남면 음양리 874,20423,화장품 제조업,031-8059-2048,
1186,화성정남일반산업단지,(주)에스에이치티 ,경기도 화성시 정남면 음양리 891,29271,반도체 제조용 기계 제조업,031-307-3257,
1187,화성정남일반산업단지,(주)에스엔에프,경기도 화성시 정남면 음양리 918,29271,반도체 제조용 기계 제조업,070-7780-0500,
1188,화성정남일반산업단지,(주)에스피시스템즈,경기도 화성시 정남면 음양리 896-0,29271,반도체 제조용 기계 제조업,031-375-8163,
1189,화성정남일반산업단지,(주)에이비솔루션 ,경기도 화성시 정남면 음양리 556-0,20421,계면활성제 제조업,031-273-1966,
1190,화성정남일반산업단지,(주)에이치앤제이,경기도 화성시 정남면 음양리 628번지,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",031-665-5581,
1191,화성정남일반산업단지,(주)에프피에이,경기도 화성시 정남면 음양리 551번지,"26295, 26299, 29271, 29272, 29299",그 외 기타 전자부품 제조업 외 4 종,070-4349-2234,
1192,화성정남일반산업단지,(주)에프피에이,경기도 화성시 정남면 음양리 874,22249,기타 기계.장비 조립용 플라스틱 제품 제조업,070-4349-2234,
1193,화성정남일반산업단지,(주)엔에스아이,경기도 화성시 정남면 음양리 886,26219,기타 표시장치 제조업,070-8869-2215,
1194,화성정남일반산업단지,(주)엔에스인터내셔널 ,경기도 화성시 정남면 음양리 886,26219,기타 표시장치 제조업,070-8869-2215,
1195,화성정남일반산업단지,(주)엔엔테크,경기도 화성시 정남면 음양리 564번지,68112,비주거용 건물 임대업,031-8050-8955,
1196,화성정남일반산업단지,(주)엘루오 ,경기도 화성시 정남면 음양리 875,"20422, 20423",화장품 제조업 외 1 종,031-354-2915,
1197,화성정남일반산업단지,(주)엠피테크 ,경기도 화성시 정남면 음양리 259번지,25924,절삭가공 및 유사처리업,031-353-9435,
1198,화성정남일반산업단지,(주)와이제이,경기도 화성시 정남면 음양리 863-0,28302,기타 절연선 및 케이블 제조업,031-372-5994,
1199,화성정남일반산업단지,(주)우신테크 ,경기도 화성시 정남면 음양리 914,25924,절삭가공 및 유사처리업,032-672-8811,
1200,화성정남일반산업단지,(주)우주철강,경기도 화성시 정남면 음양리 911,"25929, 25999",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,070-4350-3959,
1201,화성정남일반산업단지,(주)원앤유엔씨테크,경기도 화성시 정남면 음양리 867,22249,기타 기계.장비 조립용 플라스틱 제품 제조업,031-366-7333,
1202,화성정남일반산업단지,(주)원일엠텍 ,경기도 화성시 정남면 음양리 898-0,29223,금속 절삭기계 제조업,02-2637-8821,
1203,화성정남일반산업단지,(주)원케미컬,경기도 화성시 정남면 음양리 274-0,22299,그 외 기타 플라스틱 제품 제조업,031-354-3773,
1204,화성정남일반산업단지,(주)웰메이드생활건강 ,경기도 화성시 정남면 음양리 944,"20422, 20423",화장품 제조업 외 1 종,031-352-8153,
1205,화성정남일반산업단지,(주)유엔씨테크,경기도 화성시 정남면 음양리 231번지,22249,기타 기계.장비 조립용 플라스틱 제품 제조업,031-366-7333,
1206,화성정남일반산업단지,(주)이노메트리,경기도 화성시 정남면 음양리 585번지,"22249, 27213, 29299",기타 기계.장비 조립용 플라스틱 제품 제조업 외 2 종,031-2755-174,
1207,화성정남일반산업단지,(주)이노메트리,경기도 화성시 정남면 음양리 855,27213,"물질 검사, 측정 및 분석기구 제조업",031-376-2865,
1208,화성정남일반산업단지,(주)이노메트리 ,경기도 화성시 정남면 음양리 265-0,"22249, 27213, 29299",기타 기계.장비 조립용 플라스틱 제품 제조업 외 2 종,031-275-5174,
1209,화성정남일반산업단지,(주)이에스디코리아 ,경기도 화성시 정남면 음양리 970,22291,플라스틱 접착처리 제품 제조업,055-312-1500,
1210,화성정남일반산업단지,(주)이엔지케이 ,경기도 화성시 정남면 음양리 912-0,25941,볼트 및 너트류 제조업,031-354-1982,
1211,화성정남일반산업단지,(주)인텍오토메이션,경기도 화성시 정남면 음양리 934,"27216, 29142, 29272, 29280",디스플레이 제조용 기계 제조업 외 3 종,02-3439-0070,
1212,화성정남일반산업단지,(주)일진,경기도 화성시 정남면 음양리 904-0,"25111, 29171",산업용 냉장 및 냉동 장비 제조업 외 1 종,031-211-2560,
1213,화성정남일반산업단지,(주)케이지원 ,경기도 화성시 정남면 음양리 921,25934,톱 및 호환성 공구 제조업,031-611-8979,
1214,화성정남일반산업단지,(주)코리아솔루션 ,경기도 화성시 정남면 음양리 298번지,29271,반도체 제조용 기계 제조업,031-366-1092,
1215,화성정남일반산업단지,(주)코스만,경기도 화성시 정남면 음양리 622-3번지,20421,계면활성제 제조업,031-695-6730,
1216,화성정남일반산업단지,(주)태성 ,경기도 화성시 정남면 음양리 919-0,29175,액체 여과기 제조업,031-354-6521,
1217,화성정남일반산업단지,(주)통해,경기도 화성시 정남면 음양리 279번지,35114,태양력 발전업,02-2043-8111,
1218,화성정남일반산업단지,(주)티제이텍,경기도 화성시 정남면 음양리 564번지,"26121, 26129, 28123",발광 다이오드 제조업 외 2 종,070-4197-4601,
